,Tweet,Date,Subjectivity,Polarity,Sentiment
0,how many candidates are needed contest election that elections would done with the help,2022-03-14 08:41:31+00:00,0.5,0.5,Positive
1,hoshiarpur police nabbed drug smuggler recovered opium hyundai verna car from his possession …,2022-03-14 08:33:21+00:00,0.0,0.0,Neutral
2,nathan haines verna francis earth the placefrancois,2022-03-14 08:30:11+00:00,0.0,0.0,Neutral
3,damn she’s hot,2022-03-14 08:21:45+00:00,0.8500000000000001,0.25,Positive
4,lol what mrs verna,2022-03-14 08:11:32+00:00,0.7,0.8,Positive
5,get the shockin̗g truth your moon sign reveals your future potential …,2022-03-14 08:01:48+00:00,0.5625,0.0,Neutral
6,your words and your thoughts might not sync well norm more for gemini,2022-03-14 08:00:25+00:00,0.5,0.5,Positive
7,for jungkookie jeon bungkook the mic,2022-03-14 07:59:02+00:00,0.0,0.0,Neutral
8,auden stunning,2022-03-14 07:51:30+00:00,1.0,0.5,Positive
9,wordle,2022-03-14 07:25:13+00:00,0.0,0.0,Neutral
10,had booked verna turbo  was promised delivery months dont see coming this,2022-03-14 07:24:32+00:00,0.0,0.0,Neutral
11,make the world your playground let the hyundai i line push your adrenaline rush the next level…,2022-03-14 07:18:42+00:00,0.0,0.0,Neutral
12,dont reply this retweet this person becomes more famous paisa kamne liye kuch galat to…,2022-03-14 07:13:07+00:00,0.75,0.5,Positive
13,ifb home appliances division ifb industries which makes home appliances across range product categories it…,2022-03-14 06:40:01+00:00,0.0,0.0,Neutral
14,ifb home appliances division ifb industries which makes home appliances across range product categorie…,2022-03-14 06:27:43+00:00,0.0,0.0,Neutral
15,verna instance power and performance have you booked yours yet book test drive today visit,2022-03-14 05:26:48+00:00,0.0,0.0,Neutral
16,heres shoutout the three that make hyundai verna super exciting sleeker sportier and smarter appeal…,2022-03-14 04:57:12+00:00,0.7333333333333334,0.31666666666666665,Positive
17,outstanding achievement sound editing verna fields students award build up,2022-03-14 03:43:19+00:00,0.6375,0.45,Positive
18,outstanding achievement sound editing verna fields student award congratulations the team from build up…,2022-03-14 03:32:38+00:00,0.6375,0.45,Positive
19,verna car wbab lying chetla workshop since  every time,2022-03-14 03:19:38+00:00,0.0,0.0,Neutral
20,knew was gonna star when saw him verna the uso girl with sissy spacek wnet,2022-03-14 03:16:55+00:00,0.0,0.0,Neutral
21,thanks  for inviting dr verna caddie special guest your show,2022-03-14 03:14:53+00:00,0.3857142857142857,0.2785714285714286,Positive
22,when traffic gridlocked allowed for people’s convenience the opposite side the road wrong way hy…,2022-03-14 03:04:58+00:00,0.45,-0.25,Negative
23,it’s edmonton and those hospitals are for seriousl…,2022-03-14 02:27:31+00:00,0.0,0.0,Neutral
24,im shock total disbelief that this allowed on…,2022-03-14 02:20:08+00:00,0.75,0.0,Neutral
25,it’s edmonton remember you are dealing with shameless vindictive partisan party that…,2022-03-14 02:01:53+00:00,0.0,0.0,Neutral
26,william hurt great brownie harris photo from the madefortv verna uso girl baumholder west germany https…,2022-03-14 01:35:51+00:00,0.75,0.8,Positive
27,buy car from dad for verna,2022-03-14 01:35:34+00:00,0.0,0.0,Neutral
29,ill never forget,2022-03-14 01:28:43+00:00,1.0,-0.5,Negative
31,…,2022-03-14 00:44:13+00:00,0.0,0.0,Neutral
32,i’ll give you three early career verna uso girl career breakthrough altered states sentimenta…,2022-03-14 00:40:52+00:00,0.3,0.1,Positive
34,happy birthday coco enjoy your day and there are many many more come,2022-03-14 00:25:11+00:00,0.6,0.54,Positive
36,thoughts verna,2022-03-14 00:08:15+00:00,0.0,0.0,Neutral
38,pake thoughts verna,2022-03-13 23:59:29+00:00,0.0,0.0,Neutral
39,back,2022-03-13 23:49:21+00:00,0.0,0.0,Neutral
40,because you rep verna,2022-03-13 23:46:36+00:00,0.0,0.0,Neutral
41,pinkshoto mysta today which white valentine …,2022-03-13 23:45:54+00:00,0.0,0.0,Neutral
46,youtube bijou verna uso girl with sissy spacek william hu and sally kellerman,2022-03-13 23:13:08+00:00,0.0,0.0,Neutral
47,you get more done youre naked,2022-03-13 23:07:30+00:00,0.45,0.25,Positive
48,thought the police was supposed serve and protect they could wound them not kill don’t trust them all,2022-03-13 23:03:20+00:00,0.0,0.0,Neutral
50,this week learn about jean lumb and verna patronella johnston through s herstory storytelling progra…,2022-03-13 23:00:28+00:00,0.0,0.0,Neutral
54,the invisible sentence verna mcfelin verna mcfelin’s gripping account her life after her husband’s arrest and http…,2022-03-13 22:50:25+00:00,0.5,0.225,Positive
60,guess that hes staying then,2022-03-13 22:46:12+00:00,0.0,0.0,Neutral
61,william hurt great brownie harris photo from the madefortv verna uso girl baumholder west germany,2022-03-13 22:45:46+00:00,0.75,0.8,Positive
65,nonna verna harrison hands down highly recommend starting with gods manysplendored image theolog…,2022-03-13 22:40:06+00:00,0.3096296296296296,0.0014814814814814725,Positive
68,the first thing ever saw him was verna uso girl that and luis molina kiss the spi…,2022-03-13 22:36:03+00:00,0.3333333333333333,0.25,Positive
69,the invisible sentence verna mcfelin verna mcfelin’s gripping account her life after her husband’s arrest…,2022-03-13 22:31:53+00:00,1.0,0.5,Positive
70,this great way lead positively impact the stop suicide kevin schmiegel and paul cucin…,2022-03-13 22:26:07+00:00,0.6477272727272727,0.5136363636363637,Positive
71,the zoeira never ends,2022-03-13 21:56:59+00:00,0.0,0.0,Neutral
72,izone deserved much better,2022-03-13 21:56:51+00:00,0.5,0.5,Positive
73,miss izonei miss izone,2022-03-13 21:56:50+00:00,0.0,0.0,Neutral
74,eyes me the moment become one everyone pays attention hello are izone,2022-03-13 21:56:50+00:00,0.0,0.0,Neutral
75,life  anxiety,2022-03-13 21:56:49+00:00,0.0,0.0,Neutral
76,when memories hit you totally hurts,2022-03-13 21:56:49+00:00,0.75,0.0,Neutral
77,friends that understand your antisocial phases are important,2022-03-13 21:56:49+00:00,1.0,0.4,Positive
78,izone deserves happy ending,2022-03-13 21:56:48+00:00,1.0,0.8,Positive
79,moira agrees common whitlowgrass erophila verna how nice know such knowledgeable peeps,2022-03-13 21:48:43+00:00,0.6666666666666666,0.09999999999999999,Positive
80,and per article no judiciary action center was allowed into which sc…,2022-03-13 21:41:03+00:00,0.1,0.0,Neutral
81,rest peace william hurt the best families verna uso girl altered states eyewitness body heat all the way ho…,2022-03-13 21:37:08+00:00,0.3,1.0,Positive
82,law and business podcast episode with polina chtchelok how define business vs startup verna law,2022-03-13 21:00:42+00:00,0.0,0.0,Neutral
83,common whitlowgrass erophila verna verge kew retail park london,2022-03-13 20:59:07+00:00,0.5,-0.3,Negative
84,hornungia petraea hutchinsia the peak district this morning along with erophila majuscula the first the peak distric…,2022-03-13 20:52:10+00:00,0.3333333333333333,0.25,Positive
85,flowers around alnmouth station this weekend bellis perennis lamium album veronica persica fumaria muralis fic…,2022-03-13 20:51:08+00:00,0.0,0.0,Neutral
86,common whitlowgrass erophila verna from monks dale nnr derbyshire this week,2022-03-13 20:43:04+00:00,0.5,-0.3,Negative
87,galium aparine cleavers and ficaria verna lesser celandine over grave speldhurst churchyard htt…,2022-03-13 20:42:43+00:00,0.5,0.0,Neutral
89,hello its common whitlowgrass erophila verna,2022-03-13 20:38:30+00:00,0.5,-0.3,Negative
91,thats lesser celandine ficaria verna its the same family caltha palustris the buttercu…,2022-03-13 20:30:54+00:00,0.3125,0.0,Neutral
93,galium aparine cleavers and ficaria verna lesser celandine over grave speldhurst churchyard,2022-03-13 20:27:00+00:00,0.5,0.0,Neutral
95,all the little white ones look like common whitlowgrass erophila verna shining cranesbill the middle,2022-03-13 20:09:24+00:00,0.25,-0.121875,Negative
96,found along cuckoo hill road great bircham red deadnettle lamium purpureum common daisy…,2022-03-13 20:07:42+00:00,0.4166666666666667,0.16666666666666666,Positive
97,nathan haines verna francis earth the place get high when wanna get hig…,2022-03-13 20:07:04+00:00,0.5399999999999999,0.16,Positive
99,erophila verna spring whitlowgrass shrewsbury castle walls today,2022-03-13 19:57:34+00:00,0.0,0.0,Neutral
0,features specs engine compared has unveiled its latest offering in…,2022-03-09 11:40:19+00:00,0.9,0.5,Positive
1,features specs engine compared has unveiled its latest offer…,2022-03-09 11:17:14+00:00,0.9,0.5,Positive
2,definitely virtus and slavia are winner products and especially with tsi engine and what,2022-03-08 13:47:20+00:00,0.75,0.0,Neutral
3,have hyundai verna have spent lot money the same issues again and again engine heat up engine spark pl…,2022-03-07 10:25:25+00:00,0.1125,-0.05,Negative
0,according verna hills credited with writing the american folk song the wheels the bus the wheels,2022-03-06 11:31:29+00:00,0.0,0.0,Neutral
0,city slavia ciaz are doing extremely good feb with vitrus coming in hyundai has tough task selling…,2022-03-10 06:13:37+00:00,0.7166666666666668,0.15555555555555553,Positive
0,omicron average less severe but the past few months the omicron wave have been the nddeadliest period the pan…,2022-03-12 18:51:03+00:00,0.20416666666666664,-0.19166666666666665,Negative
1,told you darg he’s fucking good bruv him instead verna and we’re coming for that prem title ha…,2022-03-10 21:49:16+00:00,0.6000000000000001,0.7,Positive
0,princess tabitha her patio wall full display all her glory for all the people the…,2022-03-13 14:30:21+00:00,0.55,0.35,Positive
0,taehyung waved and looked camera,2022-03-10 11:20:34+00:00,0.0,0.0,Neutral
2,got new lens for camera and yesterday did first fieldtrip happy ranunculus ficaria…,2022-03-08 17:56:42+00:00,0.5959595959595959,0.3954545454545455,Positive
11,got new lens for camera and yesterday did first fieldtrip happy ranunculus fic…,2022-03-06 20:49:09+00:00,0.5959595959595959,0.3954545454545455,Positive
0,mom was that glue she’s gone now almost years still miss ever deeply life just broken wo her,2022-03-12 18:54:23+00:00,0.4,-0.2,Negative
